"filename", "language", "JSON", "C#", "XML", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.4 Længden af en Måned\obj\Debug\net8.0\9.4 Længden af en Måned.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.4 Længden af en Måned\obj\Debug\net8.0\9.4 Længden af en Måned.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.4 Længden af en Måned\obj\Debug\net8.0\9.4 Længden af en Måned.sourcelink.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.4 Længden af en Måned\obj\project.assets.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 79
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.5 Ferie\9.5 Ferie.csproj", "XML", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.5 Ferie\Program.cs", "C#", 0, 27, 0, 0, 0, 0, 4, 31
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.5 Ferie\bin\Debug\net8.0\9.5 Ferie.deps.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.5 Ferie\bin\Debug\net8.0\9.5 Ferie.runtimeconfig.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.5 Ferie\obj\9.5 Ferie.csproj.nuget.dgspec.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 73
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.5 Ferie\obj\9.5 Ferie.csproj.nuget.g.props", "XML", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.5 Ferie\obj\9.5 Ferie.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.5 Ferie\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.5 Ferie\obj\Debug\net8.0\9.5 Ferie.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 9, 5, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.5 Ferie\obj\Debug\net8.0\9.5 Ferie.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.5 Ferie\obj\Debug\net8.0\9.5 Ferie.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.5 Ferie\obj\Debug\net8.0\9.5 Ferie.sourcelink.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\09. Branches\9.5 Ferie\obj\project.assets.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 79
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.1 Celcius til Fahrenheit\10.1 Celcius til Fahrenheit.csproj", "XML", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.1 Celcius til Fahrenheit\Program.cs", "C#", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.1 Celcius til Fahrenheit\bin\Debug\net8.0\10.1 Celcius til Fahrenheit.deps.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.1 Celcius til Fahrenheit\bin\Debug\net8.0\10.1 Celcius til Fahrenheit.runtimeconfig.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.1 Celcius til Fahrenheit\obj\10.1 Celcius til Fahrenheit.csproj.nuget.dgspec.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 73
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.1 Celcius til Fahrenheit\obj\10.1 Celcius til Fahrenheit.csproj.nuget.g.props", "XML", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.1 Celcius til Fahrenheit\obj\10.1 Celcius til Fahrenheit.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.1 Celcius til Fahrenheit\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.1 Celcius til Fahrenheit\obj\Debug\net8.0\10.1 Celcius til Fahrenheit.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 9, 5, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.1 Celcius til Fahrenheit\obj\Debug\net8.0\10.1 Celcius til Fahrenheit.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.1 Celcius til Fahrenheit\obj\Debug\net8.0\10.1 Celcius til Fahrenheit.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.1 Celcius til Fahrenheit\obj\Debug\net8.0\10.1 Celcius til Fahrenheit.sourcelink.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.1 Celcius til Fahrenheit\obj\project.assets.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 79
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge.csproj", "XML", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge\Program.cs", "C#", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge\bin\Debug\net8.0\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge.deps.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge\bin\Debug\net8.0\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge.runtimeconfig.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge\obj\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge.csproj.nuget.dgspec.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 73
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge\obj\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge.csproj.nuget.g.props", "XML", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge\obj\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge.csproj.nuget.g.targets", "XML", 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge\obj\Debug\net8.0\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 9, 5, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge\obj\Debug\net8.0\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge\obj\Debug\net8.0\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge\obj\Debug\net8.0\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge.sourcelink.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.2 Celcius til Fahrenheit i Omvendt Rækkefølge\obj\project.assets.json", "JSON", 79, 0, 0, 0, 0, 0, 0, 79
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.3 Celcius til Fahrenheit Alternativer\DoWhile loop\DoWhile loop.csproj", "XML", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.3 Celcius til Fahrenheit Alternativer\DoWhile loop\Program.cs", "C#", 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.3 Celcius til Fahrenheit Alternativer\DoWhile loop\bin\Debug\net8.0\DoWhile loop.deps.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 23
"c:\Users\emilj\Documents\SDU\OOP\oop-exercises\10. Loops\10.3 Celcius til Fahrenheit Alternativer\DoWhile loop\bin\Debug\net8.0\DoWhile loop.runtimeconfig.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 12
